Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2012-11-05,73.0,73.23999786376953,71.06999969482422,72.94000244140625,72.94000244140625,1861800,-0.029183319600161777,32.7664115319468,1.8097985314925489
2012-11-06,70.01000213623047,72.61000061035156,70.01000213623047,71.62000274658203,71.62000274658203,2566500,-0.018262815932307604,29.16943614204122,1.8662413845374448
2012-11-07,70.8499984741211,71.61000061035156,69.0,69.47000122070312,69.47000122070312,1948800,-0.030479380643210013,24.459584011948536,1.9193670435241674
2012-11-08,69.87000274658203,69.95999908447266,68.19999694824219,68.26000213623047,68.26000213623047,704400,-0.017571047502392856,22.279306097759928,1.9079838358603318
2012-11-09,68.23999786376953,69.72000122070312,68.0,68.72000122070312,68.72000122070312,512400,0.006716320665377609,25.015767631465607,1.8945565062062457
2012-11-12,69.2699966430664,69.69000244140625,68.37999725341797,69.0,69.0,467000,0.004066209157826455,26.70736449380732,1.8528028406192483
2012-11-13,68.4800033569336,69.1500015258789,68.25,68.94000244140625,68.94000244140625,675100,-0.0008699080950470662,26.569050830276012,1.7847456038520808
2012-11-14,69.08000183105469,69.11000061035156,67.18000030517578,67.5,67.5,667300,-0.021108998623728163,23.432406493157586,1.7951209396609167
2012-11-15,67.5999984741211,68.58000183105469,67.05999755859375,68.54000091552734,68.54000091552734,779000,0.015289931925541247,29.871693266155432,1.7754697491466325
2012-11-16,68.33000183105469,69.9800033569336,68.19999694824219,69.2699966430664,69.2699966430664,524500,0.010594333768907933,34.06339735104915,1.7757937962569734
2012-11-19,69.93000030517578,69.95999908447266,68.48999786376953,68.63999938964844,68.63999938964844,388500,-0.009136417285294685,32.27069337794168,1.7539514694316984
2012-11-20,69.11000061035156,71.66999816894531,68.80000305175781,70.30999755859375,70.30999755859375,590700,0.02403855519997394,41.11718741086849,1.8450977058506395
2012-11-21,69.87000274658203,70.8499984741211,69.58999633789062,69.87000274658203,69.87000274658203,1708200,-0.006277589613363719,39.647820935881064,1.8033051651634844
